creativeID,adID,camgaignID,advertiserID,appID,appPlatform
4079,2318,147,80,14,2
4565,3593,632,3,465,1
3170,1593,205,54,389,1
6566,2390,205,54,389,1
5187,411,564,3,465,1
6440,3379,411,3,465,1
2367,364,139,10,434,1
4686,834,107,80,14,2
2553,2519,60,3,465,1
5832,100,73,54,389,1
2392,2249,205,54,389,1
5942,3598,693,26,123,2
5949,3084,566,80,14,2
1273,3170,56,26,123,2
3981,2924,513,44,421,1
4008,1063,365,80,14,2
6377,3242,375,80,14,2
2438,147,460,3,465,1
697,1997,260,20,328,2
5184,167,310,36,123,2
1994,2812,412,20,328,2
2989,3513,477,80,14,2
6522,2361,625,57,421,1
3321,3561,106,22,218,2
750,750,141,87,116,2
2280,2519,60,3,465,1
4862,822,205,54,389,1
1004,411,564,3,465,1
3307,17,216,80,14,2
5458,1120,310,36,123,2
1882,199,409,56,123,2
4122,3193,347,45,304,2
4682,1673,546,20,336,2
5623,2363,706,87,116,2
3320,120,199,87,116,2
4538,2944,127,35,356,1
4250,1638,440,3,465,1
5175,3354,522,87,116,2
6241,3593,632,3,465,1
1451,1652,120,44,421,1
102,1652,120,44,421,1
3642,649,205,54,389,1
3973,3347,260,20,328,2
2902,2138,56,26,123,2
6471,2107,552,54,389,1
376,3102,649,84,360,1
973,2480,492,81,109,2
3465,86,503,3,465,1
5610,411,564,3,465,1
1456,3379,411,3,465,1
2566,3134,124,52,356,1
2522,1535,685,80,14,2
72,3003,497,15,383,1
4432,1161,45,3,465,1
1993,2538,591,80,14,2
32,34,85,80,14,2
4705,2249,205,54,389,1
1006,2634,615,26,123,2
5209,293,82,84,360,1
689,2784,38,8,84,2
6201,2852,546,20,336,2
5332,1277,613,20,328,2
262,1652,120,44,421,1
5030,3011,294,15,383,1
5886,680,497,15,383,1
2703,1793,320,80,14,2
2002,2238,637,3,465,1
6490,1469,535,80,14,2
1698,3461,541,35,356,1
5258,2195,369,67,137,2
177,1741,201,89,420,1
5740,51,205,54,389,1
3284,749,205,54,389,1
2284,1388,325,80,14,2
4444,1899,322,80,14,2
58,913,217,44,421,1
1795,2634,615,26,123,2
1069,852,34,9,116,2
3293,2891,685,80,14,2
1198,1806,540,88,123,2
3093,86,503,3,465,1
5318,209,267,42,350,2
4637,1310,633,52,356,1
1543,2848,58,57,421,1
3024,2985,6,80,14,2
6193,1061,131,54,389,1
1540,3593,632,3,465,1
51,1638,440,3,465,1
784,3242,375,80,14,2
34,1161,45,3,465,1
898,985,217,44,421,1
1341,3305,631,27,198,2
3013,3293,654,54,389,1
4465,147,460,3,465,1
4373,3074,135,20,328,2
6036,493,379,84,360,1
6317,890,482,74,100,2
2198,3284,512,57,421,1
3745,1166,430,80,14,2
1465,3141,277,74,100,2
3361,470,9,91,84,2
1821,2084,355,68,127,2
6387,1161,45,3,465,1
1918,28,153,8,84,2
1537,696,183,3,465,1
863,2238,637,3,465,1
37,2068,391,54,389,1
6061,2136,101,40,123,2
896,2406,707,36,123,2
6185,2174,2,36,123,2
3305,3304,368,13,360,1
1675,1778,642,3,465,1
869,2109,46,36,123,2
3884,1072,653,35,356,1
3722,3312,399,8,84,2
1612,1174,711,3,465,1
2875,2878,298,48,336,2
1259,1535,685,80,14,2
5378,376,274,29,286,2
4336,3440,232,36,123,2
2982,3379,411,3,465,1
1946,698,2,36,123,2
5943,1638,440,3,465,1
3732,913,217,44,421,1
3586,2238,637,3,465,1
4756,11,139,10,434,1
6581,402,576,7,336,2
6278,3214,391,54,389,1
6444,2453,373,2,319,2
5584,546,667,8,84,2
2113,2077,512,57,421,1
985,86,503,3,465,1
3090,2971,64,57,421,1
2240,2129,19,35,356,1
4169,2298,147,80,14,2
5066,822,205,54,389,1
3780,256,325,80,14,2
4785,2871,613,20,328,2
4254,135,254,48,336,2
709,1096,139,10,434,1
860,3345,73,54,389,1
5736,205,213,87,116,2
464,1393,188,87,116,2
5747,1896,105,80,14,2
997,2982,661,80,14,2
6364,2456,89,29,286,2
5877,950,376,80,14,2
3347,3301,690,24,205,2
2623,70,133,2,198,2
3566,2041,569,54,389,1
1234,2390,205,54,389,1
4328,2199,164,17,205,2
6520,2074,422,34,229,2
5161,584,50,80,14,2
3531,2581,300,80,14,2
594,2837,534,80,14,2
728,3088,139,10,434,1
1486,106,696,84,360,1
4843,3070,202,83,150,2
2137,2148,179,84,360,1
6004,2594,73,54,389,1
527,3210,73,54,389,1
4113,858,99,20,336,2
2590,2817,654,54,389,1
4357,2293,232,36,123,2
4725,1392,291,24,205,2
4322,3127,700,5,293,2
382,2966,391,54,389,1
4094,83,73,54,389,1
4845,3048,73,54,389,1
5231,325,73,54,389,1
1513,3582,73,54,389,1
2439,3112,73,54,389,1
1268,3315,205,54,389,1
733,210,522,87,116,2
5540,1696,205,54,389,1
726,1791,497,15,383,1
5588,1502,23,15,383,1
5906,668,603,29,286,2
1518,485,709,91,84,2
6511,767,707,36,123,2
5668,3414,612,38,113,2
5163,3040,417,2,319,2
5307,956,618,9,116,2
3518,3084,566,80,14,2
1854,897,52,25,146,2
1927,2327,26,15,383,1
3594,3115,131,54,389,1
3353,170,26,15,383,1
4934,854,513,44,421,1
522,649,205,54,389,1
6141,2124,120,44,421,1
4671,1843,117,80,14,2
5598,3384,569,54,389,1
3296,2453,373,2,319,2
584,3305,631,27,198,2
1433,2773,14,84,360,1
6310,2242,715,80,14,2
4077,2698,201,89,420,1
2639,403,112,54,389,1
3257,3284,512,57,421,1
6266,3588,458,20,336,2
5122,2376,568,2,319,2
4887,1336,640,9,116,2
2764,147,460,3,465,1
5980,3393,131,54,389,1
319,2439,131,54,389,1
3439,1207,131,54,389,1
1473,1876,131,54,389,1
5036,2300,131,54,389,1
1253,1133,131,54,389,1
1765,34,85,80,14,2
6567,2924,513,44,421,1
2122,677,643,3,465,1
1128,3089,426,81,109,2
615,160,600,89,420,1
4493,2376,568,2,319,2
369,2694,421,80,14,2
150,145,372,69,428,1
2387,3149,88,80,14,2
1709,1925,139,10,434,1
3869,696,183,3,465,1
3555,2825,205,54,389,1
3423,2537,472,52,356,1
6423,2746,2,36,123,2
2478,522,458,20,336,2
4228,761,444,81,109,2
4699,3018,53,8,84,2
3957,354,40,68,127,2
5723,2064,73,54,389,1
3626,140,205,54,389,1
1830,601,205,54,389,1
5095,1530,41,63,360,1
1825,3463,654,54,389,1
1409,3233,517,69,428,1
2603,2953,391,54,389,1
4131,950,376,80,14,2
2537,1597,166,84,360,1
2235,1778,642,3,465,1
2521,745,654,54,389,1
198,487,130,15,383,1
4164,2131,73,54,389,1
6496,933,504,3,465,1
5575,2918,205,54,389,1
4830,1631,205,54,389,1
3765,880,391,54,389,1
4802,1204,112,54,389,1
3398,2967,139,10,434,1
845,3460,139,10,434,1
173,2020,139,10,434,1
5180,145,372,69,428,1
5368,2122,326,55,198,2
2225,2203,139,10,434,1
3671,2222,399,8,84,2
1035,2145,139,10,434,1
5656,493,379,84,360,1
3497,369,144,84,360,1
4732,1260,205,54,389,1
4757,834,107,80,14,2
1887,369,144,84,360,1
2375,2629,139,10,434,1
3178,1613,131,54,389,1
4106,3304,368,13,360,1
5364,1613,131,54,389,1
6149,2704,205,54,389,1
5137,2218,159,80,14,2
4668,502,205,54,389,1
6515,2991,615,26,123,2
4239,2478,603,29,286,2
3035,38,403,63,360,1
4660,3506,205,54,389,1
2864,2622,139,10,434,1
1238,2519,60,3,465,1
383,3481,205,54,389,1
2179,502,205,54,389,1
3476,363,654,54,389,1
2586,2800,654,54,389,1
2287,2732,654,54,389,1
714,194,654,54,389,1
3298,853,569,54,389,1
6326,933,504,3,465,1
5559,225,654,54,389,1
5594,3593,632,3,465,1
6534,1593,205,54,389,1
4620,1125,139,10,434,1
3376,863,139,10,434,1
5772,2471,391,54,389,1
3114,2521,167,63,360,1
3857,1619,569,54,389,1
4032,385,84,81,109,2
5940,1160,139,10,434,1
183,708,391,54,389,1
74,106,696,84,360,1
1083,1259,205,54,389,1
22,128,326,55,319,2
2571,1182,654,54,389,1
3062,1625,205,54,389,1
874,2068,391,54,389,1
690,2053,552,54,389,1
643,2440,205,54,389,1
3447,2887,205,54,389,1
3356,697,552,54,389,1
1402,40,139,10,434,1
623,2089,139,10,434,1
6411,369,144,84,360,1
6137,1395,474,52,356,1
1617,3220,245,13,360,1
578,590,468,89,420,1
62,97,139,10,434,1
5734,83,73,54,389,1
1166,2985,6,80,14,2
4892,1637,650,48,336,2
279,1509,417,2,319,2
5738,2473,707,36,123,2
5603,3170,56,26,123,2
247,2571,205,54,389,1
3511,2688,181,91,84,2
5492,238,46,36,123,2
6517,109,46,36,123,2
1901,1087,303,29,286,2
5186,2657,279,80,14,2
6452,1267,603,29,286,2
1133,764,72,8,84,2
1061,1738,310,36,123,2
4494,378,124,52,356,1
2386,1090,666,80,14,2
4215,2307,212,15,383,1
4533,983,599,7,336,2
3408,2192,704,8,84,2
2860,3518,112,54,389,1
2432,1186,131,54,389,1
2884,82,43,80,14,2
3809,1489,164,17,205,2
5176,629,307,80,14,2
2302,2477,217,44,421,1
3546,1312,645,9,116,2
2489,1403,569,54,389,1
3688,2239,654,54,389,1
5044,82,43,80,14,2
648,3149,88,80,14,2
5395,426,131,54,389,1
5662,3477,674,24,205,2
428,626,205,54,389,1
490,3535,569,54,389,1
1489,2469,512,57,421,1
3403,934,201,89,420,1
486,3083,465,75,83,2
3487,599,329,91,84,2
2736,256,325,80,14,2
4480,931,186,2,198,2
5638,1173,648,47,328,2
6497,12,391,54,389,1
39,2629,139,10,434,1
2576,1609,139,10,434,1
5897,1402,148,47,328,2
456,2991,615,26,123,2
2651,2766,176,29,218,2
4763,1747,114,80,14,2
2630,2200,290,39,100,2
4503,3237,531,8,84,2
1941,2709,662,60,68,2
1448,3529,310,36,123,2
2935,945,310,36,123,2
5616,333,139,10,434,1
4430,2721,546,20,336,2
5296,3555,706,87,116,2
5345,58,205,54,389,1
6559,1853,17,24,205,2
6344,2714,391,54,389,1
1512,1843,117,80,14,2
230,2990,12,52,356,1
4181,2343,655,69,428,1
5855,626,205,54,389,1
1971,705,355,68,127,2
2965,1928,164,17,205,2
4409,1142,114,80,14,2
5767,3490,84,81,109,2
2469,2366,654,54,389,1
4958,504,131,54,389,1
6162,2891,685,80,14,2
5065,1006,131,54,389,1
829,2000,131,54,389,1
994,813,569,54,389,1
3249,1706,139,10,434,1
2808,1778,642,3,465,1
474,274,647,56,123,2
1645,3270,139,10,434,1
3641,435,483,87,116,2
5325,2930,139,10,434,1
3012,1576,139,10,434,1
3918,179,139,10,434,1
4302,1418,164,17,205,2
4775,411,564,3,465,1
4069,1263,391,54,389,1
665,3464,600,89,420,1
3441,3513,477,80,14,2
5528,2500,181,91,84,2
3584,1349,32,8,84,2
1924,2551,569,54,389,1
4578,3510,205,54,389,1
299,2088,684,7,336,2
4657,2538,591,80,14,2
2828,2881,84,81,109,2
5548,353,267,42,350,2
5462,3423,50,80,14,2
2305,2910,569,54,389,1
1389,3340,231,87,116,2
4640,98,552,54,389,1
236,3119,552,54,389,1
4062,2305,667,8,84,2
2463,1631,205,54,389,1
1047,2863,517,69,428,1
83,1762,394,23,105,2
5005,2704,205,54,389,1
5791,1601,205,54,389,1
3788,3502,131,54,389,1
4291,3033,139,10,434,1
2866,2836,113,35,356,1
1604,1094,512,57,421,1
4511,2013,408,9,116,2
656,2145,139,10,434,1
1963,3382,421,80,14,2
1891,610,139,10,434,1
612,3069,647,56,123,2
3901,925,139,10,434,1
1204,1278,139,10,434,1
1865,364,139,10,434,1
6312,1004,139,10,434,1
982,2302,164,17,205,2
2839,2521,167,63,360,1
6220,3379,411,3,465,1
5342,1638,440,3,465,1
577,2847,574,63,360,1
2182,35,139,10,434,1
3747,1259,205,54,389,1
6244,751,391,54,389,1
3892,714,707,36,123,2
1938,2098,205,54,389,1
6,3123,139,10,434,1
3420,73,254,48,336,2
2330,9,218,80,14,2
1064,3304,368,13,360,1
1524,1982,569,54,389,1
179,3512,569,54,389,1
3338,1496,569,54,389,1
3875,3137,285,52,356,1
6392,3581,139,10,434,1
4039,2571,205,54,389,1
5500,306,139,10,434,1
6100,2389,574,63,360,1
107,1007,552,54,389,1
3904,111,205,54,389,1
159,3251,139,10,434,1
960,2474,73,54,389,1
3631,1154,73,54,389,1
5026,375,73,54,389,1
2044,1784,131,54,389,1
979,1799,569,54,389,1
1445,323,344,8,84,2
6122,1261,139,10,434,1
3945,1170,139,10,434,1
2021,474,654,54,389,1
5817,3233,517,69,428,1
3526,167,310,36,123,2
4882,2581,300,80,14,2
3236,381,391,54,389,1
721,1747,114,80,14,2
5543,3451,391,54,389,1
3893,1161,45,3,465,1
3292,1316,552,54,389,1
193,140,205,54,389,1
6281,892,139,10,434,1
6239,3384,569,54,389,1
4457,3016,139,10,434,1
5473,2887,205,54,389,1
4998,1235,73,54,389,1
4423,196,165,74,100,2
3934,2982,661,80,14,2
4455,3319,569,54,389,1
2693,665,205,54,389,1
215,3004,654,54,389,1
5968,1881,654,54,389,1
5630,1825,232,36,123,2
3496,370,303,29,286,2
5360,1859,176,29,218,2
2374,1984,44,8,84,2
5884,913,217,44,421,1
613,1347,139,10,434,1
3536,537,689,85,271,2
4084,1888,543,52,356,1
5448,1683,139,10,434,1
4401,1738,310,36,123,2
5148,1496,569,54,389,1
5336,3026,230,80,14,2
3075,2318,147,80,14,2
3381,3210,73,54,389,1
4121,1389,384,24,205,2
6397,3396,48,91,84,2
2658,272,260,20,328,2
3491,2254,552,54,389,1
1162,1263,391,54,389,1
2530,447,164,17,205,2
619,457,310,36,123,2
4443,119,647,56,123,2
6367,1322,205,54,389,1
1264,1063,365,80,14,2
2497,745,654,54,389,1
1063,723,654,54,389,1
4747,3128,139,10,434,1
2823,2396,473,57,421,1
553,2783,552,54,389,1
4208,1604,139,10,434,1
2085,3164,139,10,434,1
1815,3266,361,91,84,2
2212,1391,139,10,434,1
6527,2691,139,10,434,1
732,387,708,20,328,2
1229,200,391,54,389,1
275,2238,637,3,465,1
761,2423,552,54,389,1
4125,3075,29,2,198,2
5992,1067,391,54,389,1
5146,428,391,54,389,1
5861,696,183,3,465,1
5003,2451,428,87,116,2
128,1126,64,57,421,1
3480,2924,513,44,421,1
3966,1983,165,74,100,2
5436,3506,205,54,389,1
5226,57,139,10,434,1
2372,3380,2,36,123,2
1205,586,64,57,421,1
4854,2621,654,54,389,1
1958,3252,73,54,389,1
144,369,144,84,360,1
184,3220,245,13,360,1
993,1927,552,54,389,1
1279,136,552,54,389,1
2711,2757,70,80,14,2
5654,1820,139,10,434,1
5682,3481,205,54,389,1
6542,1064,139,10,434,1
1110,2469,512,57,421,1
5147,600,480,31,146,2
3850,80,139,10,434,1
316,989,139,10,434,1
3834,1698,391,54,389,1
2580,2843,131,54,389,1
3965,2371,131,54,389,1
599,792,552,54,389,1
5072,1447,205,54,389,1
176,1375,552,54,389,1
1298,2805,569,54,389,1
3137,1403,569,54,389,1
2051,87,391,54,389,1
4997,2718,139,10,434,1
2773,1035,46,36,123,2
5917,2447,205,54,389,1
5086,2864,654,54,389,1
6293,3438,552,54,389,1
1362,101,552,54,389,1
1015,1474,139,10,434,1
6153,1184,552,54,389,1
4553,3427,707,36,123,2
329,668,603,29,286,2
3107,2699,242,91,84,2
1142,2611,212,15,383,1
2318,174,164,17,205,2
457,728,552,54,389,1
99,721,56,26,123,2
4088,1570,635,52,356,1
1492,1090,666,80,14,2
6271,3466,172,52,356,1
2861,2886,112,54,389,1
289,558,254,48,336,2
2834,3074,135,20,328,2
1085,982,274,29,286,2
1217,2353,2,36,123,2
3113,3332,512,57,421,1
3014,2402,139,10,434,1
5622,1021,139,10,434,1
2969,317,139,10,434,1
2642,2440,205,54,389,1
682,1259,205,54,389,1
777,2312,341,16,195,2
5331,2865,129,40,123,2
274,3240,126,75,83,2
263,899,615,26,123,2
5106,2320,512,57,421,1
2883,3311,707,36,123,2
1828,2953,391,54,389,1
708,951,345,9,116,2
6388,1941,2,36,123,2
5261,2667,707,36,123,2
1952,2791,8,20,328,2
3449,3357,615,26,123,2
4801,34,85,80,14,2
2074,1373,552,54,389,1
3341,2073,176,29,218,2
5385,1432,625,57,421,1
5211,880,391,54,389,1
4602,147,460,3,465,1
6371,1877,126,75,83,2
1212,2617,131,54,389,1
389,1649,668,9,116,2
2143,664,579,87,116,2
5989,3006,654,54,389,1
2829,2816,26,15,383,1
5227,2671,73,54,389,1
5284,2805,569,54,389,1
3311,2055,569,54,389,1
5083,2825,205,54,389,1
4937,867,205,54,389,1
5322,1162,139,10,434,1
6501,516,205,54,389,1
5687,677,643,3,465,1
2761,86,503,3,465,1
3899,1375,552,54,389,1
5037,614,2,36,123,2
5264,1135,552,54,389,1
1437,3106,205,54,389,1
6434,1887,647,56,123,2
4993,3103,73,54,389,1
17,1123,73,54,389,1
445,448,131,54,389,1
4234,1125,139,10,434,1
3362,1656,139,10,434,1
882,426,131,54,389,1
3618,2829,131,54,389,1
2608,1896,105,80,14,2
4902,1197,139,10,434,1
205,2579,391,54,389,1
593,553,552,54,389,1
1843,1388,325,80,14,2
4745,629,307,80,14,2
800,3202,552,54,389,1
3818,1683,139,10,434,1
3273,3260,303,29,286,2
4247,3443,139,10,434,1
393,2627,715,80,14,2
1784,1175,106,22,218,2
4080,2296,569,54,389,1
542,868,569,54,389,1
6113,3068,139,10,434,1
2597,1018,46,36,123,2
1573,757,2,36,123,2
510,1802,2,36,123,2
2275,1103,204,83,150,2
6333,3612,495,9,116,2
5536,1324,640,9,116,2
5661,108,675,8,84,2
3764,167,310,36,123,2
396,2299,628,16,195,2
2239,1510,99,20,336,2
2,2805,569,54,389,1
2852,311,640,9,116,2
3310,1658,68,8,84,2
2055,2927,603,29,286,2
2360,115,73,54,389,1
3169,1261,139,10,434,1
2862,1022,552,54,389,1
3263,1990,56,26,123,2
6474,215,56,26,123,2
1275,1517,139,10,434,1
73,3385,73,54,389,1
1393,3307,654,54,389,1
1003,2137,654,54,389,1
6402,497,391,54,389,1
3355,218,28,8,84,2
3533,665,205,54,389,1
2574,2971,64,57,421,1
2270,1178,654,54,389,1
3457,2364,701,91,84,2
6184,1530,41,63,360,1
3154,2478,603,29,286,2
4737,1615,647,56,123,2
4893,401,361,91,84,2
2277,2298,147,80,14,2
5078,3449,391,54,389,1
545,973,139,10,434,1
3874,722,205,54,389,1
783,1412,139,10,434,1
3121,1298,205,54,389,1
5346,2389,574,63,360,1
3971,3514,552,54,389,1
3223,416,112,54,389,1
5717,321,654,54,389,1
6032,2302,164,17,205,2
1794,2463,416,36,123,2
4482,2968,654,54,389,1
410,2477,217,44,421,1
4242,1722,139,10,434,1
2996,102,139,10,434,1
5064,3345,73,54,389,1
4537,2145,139,10,434,1
6110,1096,139,10,434,1
5100,669,552,54,389,1
5294,457,310,36,123,2
678,56,654,54,389,1
4420,3250,497,15,383,1
5805,1717,176,29,218,2
4635,2320,512,57,421,1
6104,1103,204,83,150,2
2840,2863,517,69,428,1
1187,260,66,52,356,1
1223,2301,139,10,434,1
1281,506,158,22,286,2
485,1820,139,10,434,1
3187,399,654,54,389,1
2930,1242,242,91,84,2
5596,55,56,26,123,2
4670,399,654,54,389,1
3545,2848,58,57,421,1
54,2918,205,54,389,1
4540,241,2,36,123,2
639,2757,70,80,14,2
4981,2444,201,89,420,1
780,1368,569,54,389,1
5946,611,647,56,123,2
2671,2703,468,89,420,1
1117,2922,56,26,123,2
4689,2553,48,91,84,2
6179,1142,114,80,14,2
4568,1493,73,54,389,1
6183,409,654,54,389,1
1470,3014,412,20,328,2
2476,3081,139,10,434,1
4675,973,139,10,434,1
655,3092,654,54,389,1
5491,2642,654,54,389,1
1114,3136,654,54,389,1
1738,3495,458,20,336,2
2098,46,139,10,434,1
3265,2548,139,10,434,1
1376,691,205,54,389,1
4834,1155,654,54,389,1
5961,3220,245,13,360,1
621,3126,552,54,389,1
2706,2423,552,54,389,1
3827,2626,205,54,389,1
491,3444,569,54,389,1
3060,264,569,54,389,1
2568,3084,566,80,14,2
1103,511,139,10,434,1
6531,2029,654,54,389,1
380,2234,654,54,389,1
458,3395,654,54,389,1
1174,3111,654,54,389,1
313,3376,654,54,389,1
5999,3161,14,84,360,1
5274,868,569,54,389,1
3317,2689,73,54,389,1
2335,1460,395,52,356,1
2446,2922,56,26,123,2
2589,403,112,54,389,1
4674,1945,205,54,389,1
5787,1212,654,54,389,1
1440,3419,654,54,389,1
1642,2509,139,10,434,1
3622,686,574,63,360,1
5488,3510,205,54,389,1
5799,2471,391,54,389,1
2279,2808,391,54,389,1
5511,2686,569,54,389,1
1251,2969,112,54,389,1
4075,1244,139,10,434,1
2583,880,391,54,389,1
3556,1160,139,10,434,1
4935,1601,205,54,389,1
701,976,205,54,389,1
3999,2956,353,7,336,2
4853,619,89,29,286,2
1762,3183,416,36,123,2
481,1981,232,36,123,2
4944,1643,73,54,389,1
5273,2708,688,87,116,2
4225,3529,310,36,123,2
2500,508,353,7,336,2
2049,652,708,20,328,2
2339,1135,552,54,389,1
3948,3126,552,54,389,1
3848,1437,139,10,434,1
2425,1237,139,10,434,1
3558,2710,73,54,389,1
5451,3473,575,52,356,1
2499,586,64,57,421,1
1007,1087,303,29,286,2
3432,848,512,57,421,1
1613,2951,139,10,434,1
3938,1475,552,54,389,1
385,3210,73,54,389,1
2698,3008,13,57,421,1
1265,3273,706,87,116,2
3915,2287,139,10,434,1
4755,1291,58,57,421,1
240,2599,347,45,304,2
4298,2675,391,54,389,1
136,2163,2,36,123,2
6189,112,313,22,286,2
720,833,260,20,328,2
305,2240,654,54,389,1
4019,593,131,54,389,1
6345,2848,58,57,421,1
1368,2053,552,54,389,1
121,619,89,29,286,2
100,796,525,52,356,1
3294,277,131,54,389,1
1067,601,205,54,389,1
2653,2981,139,10,434,1
6212,2825,205,54,389,1
1143,2469,512,57,421,1
4898,747,205,54,389,1
1954,298,654,54,389,1
4317,1812,139,10,434,1
509,2531,131,54,389,1
350,1573,569,54,389,1
519,2498,204,83,150,2
2090,2685,552,54,389,1
1737,51,205,54,389,1
134,1447,205,54,389,1
1553,144,46,36,123,2
5074,1500,73,54,389,1
4883,3385,73,54,389,1
704,1006,131,54,389,1
2346,1118,131,54,389,1
6279,127,139,10,434,1
2636,1854,274,29,286,2
2106,3469,2,36,123,2
567,2,89,29,286,2
6081,447,164,17,205,2
6577,1444,615,26,123,2
4388,3310,416,36,123,2
3342,1881,654,54,389,1
101,3034,391,54,389,1
1996,3202,552,54,389,1
2804,342,199,87,116,2
5367,681,89,29,286,2
4177,1705,196,8,84,2
5321,1067,391,54,389,1
119,2160,391,54,389,1
5138,854,513,44,421,1
3416,2967,139,10,434,1
4119,2000,131,54,389,1
